X,Y,Z
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868824,0.102478434
0.283464567,1.260868757,0.102476637
0.283464567,1.260868554,0.102471249
0.283464567,1.260868217,0.102462276
0.283464567,1.260867745,0.102449722
0.283464567,1.260867139,0.102433593
0.283464567,1.260866398,0.102413895
0.283464567,1.260865523,0.102390631
0.283464567,1.260864513,0.102363809
0.283464567,1.260863368,0.102333432
0.283464567,1.260862089,0.102299506
0.283464567,1.260860675,0.102262036
0.283464567,1.260859126,0.102221027
0.283464567,1.260857441,0.102176485
0.283464567,1.260855621,0.102128415
0.283464567,1.260853666,0.102076822
0.283464567,1.260851575,0.102021711
0.283464567,1.260849347,0.101963087
0.283464567,1.260846982,0.101900956
0.283464567,1.260844481,0.101835322
0.283464567,1.260841842,0.101766191
0.283464567,1.260839065,0.101693569
0.283464567,1.26083615,0.10161746
0.283464567,1.260833095,0.101537869
0.283464567,1.260829902,0.101454802
0.283464567,1.260826568,0.101368264
0.283464567,1.260823093,0.10127826
0.283464567,1.260819477,0.101184795
0.283464567,1.260815719,0.101087875
0.283464567,1.260811819,0.100987504
0.283464567,1.260807775,0.100883688
0.283464567,1.260803586,0.100776432
0.283464567,1.260799253,0.100665741
0.283464567,1.260794774,0.100551621
0.283464567,1.260790148,0.100434076
0.283464567,1.260785374,0.100313112
0.283464567,1.260780453,0.100188734
0.283464567,1.260775381,0.100060947
0.283464567,1.260770159,0.099929756
0.283464567,1.260764786,0.099795166
0.283464567,1.26075926,0.099657183
0.283464567,1.260753581,0.099515812
0.283464567,1.260747747,0.099371058
0.283464567,1.260741758,0.099222927
0.283464567,1.260735612,0.099071422
0.283464567,1.260729307,0.09891655
0.283464567,1.260722844,0.098758316
0.283464567,1.260716219,0.098596724
0.283464567,1.260709434,0.098431781
0.283464567,1.260702485,0.09826349
0.283464567,1.260695372,0.098091858
0.283464567,1.260688093,0.09791689
0.283464567,1.260680647,0.09773859
0.283464567,1.260673033,0.097556964
0.283464567,1.260665249,0.097372017
0.283464567,1.260657294,0.097183754
0.283464567,1.260649165,0.096992181
0.283464567,1.260640863,0.096797302
0.283464567,1.260632385,0.096599122
0.283464567,1.26062373,0.096397648
0.283464567,1.260614895,0.096192884
0.283464567,1.260605881,0.095984834
0.283464567,1.260596684,0.095773505
0.283464567,1.260587303,0.095558902
0.283464567,1.260577737,0.095341029
0.283464567,1.260567983,0.095119892
0.283464567,1.260558041,0.094895496
0.283464567,1.260547908,0.094667846
0.283464567,1.260537583,0.094436947
0.283464567,1.260527063,0.094202805
0.283464567,1.260516348,0.093965424
0.283464567,1.260505434,0.09372481
0.283464567,1.260494321,0.093480968
0.283464567,1.260483006,0.093233903
0.283464567,1.260471488,0.09298362
0.283464567,1.260459764,0.092730124
0.283464567,1.260447832,0.092473421
0.283464567,1.260435691,0.092213516
0.283464567,1.260423339,0.091950413
0.283464567,1.260410773,0.091684118
0.283464567,1.260397991,0.091414637
0.283464567,1.260384992,0.091141973
0.283464567,1.260371772,0.090866133
0.283464567,1.260358331,0.090587122
0.283464567,1.260344666,0.090304944
0.283464567,1.260330774,0.090019605
0.283464567,1.260316654,0.08973111
0.283464567,1.260302304,0.089439464
0.283464567,1.26028772,0.089144672
0.283464567,1.260272902,0.088846739
0.283464567,1.260257845,0.088545672
0.283464567,1.260242549,0.088241473
0.283464567,1.260227011,0.08793415
0.283464567,1.260211229,0.087623707
0.283464567,1.2601952,0.087310148
0.283464567,1.260178921,0.08699348
0.283464567,1.260162391,0.086673707
0.283464567,1.260145607,0.086350835
0.283464567,1.260128567,0.086024869
0.283464567,1.260111267,0.085695813
0.283464567,1.260093706,0.085363673
0.283464567,1.260075881,0.085028454
0.283464567,1.26005779,0.084690161
0.283464567,1.26003943,0.0843488
0.283464567,1.260020798,0.084004375
0.283464567,1.260001892,0.083656891
0.283464567,1.259982709,0.083306355
0.283464567,1.259963246,0.08295277
0.283464567,1.259943502,0.082596142
0.283464567,1.259923473,0.082236476
0.283464567,1.259903156,0.081873778
0.283464567,1.25988255,0.081508052
0.283464567,1.25986165,0.081139303
0.283464567,1.259840455,0.080767537
0.283464567,1.259818962,0.080392759
0.283464567,1.259797167,0.080014974
0.283464567,1.259775069,0.079634186
0.283464567,1.259752664,0.079250402
0.283464567,1.259729949,0.078863626
0.283464567,1.259706922,0.078473864
0.283464567,1.25968358,0.07808112
0.283464567,1.25965992,0.077685399
0.283464567,1.259635938,0.077286708
0.283464567,1.259611633,0.07688505
0.283464567,1.259587,0.076480431
0.283464567,1.259562038,0.076072856
0.283464567,1.259536744,0.075662331
0.283464567,1.259511113,0.07524886
0.283464567,1.259485143,0.074832449
