X,Y,Z
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081865157,0.060384283
0.267716535,2.081864862,0.060380104
0.267716535,2.081863978,0.060367575
0.267716535,2.081862505,0.060346708
0.267716535,2.081860444,0.060317515
0.267716535,2.081857796,0.060280008
0.267716535,2.08185456,0.060234199
0.267716535,2.081850737,0.0601801
0.267716535,2.081846328,0.060117724
0.267716535,2.081841331,0.060047082
0.267716535,2.081835747,0.059968186
0.267716535,2.081829575,0.059881048
0.267716535,2.081822816,0.05978568
0.267716535,2.081815468,0.059682093
0.267716535,2.081807532,0.059570301
0.267716535,2.081799005,0.059450314
0.267716535,2.081789888,0.059322145
0.267716535,2.08178018,0.059185805
0.267716535,2.081769879,0.059041307
0.267716535,2.081758984,0.058888661
0.267716535,2.081747494,0.05872788
0.267716535,2.081735408,0.058558976
0.267716535,2.081722724,0.05838196
0.267716535,2.08170944,0.058196844
0.267716535,2.081695555,0.05800364
0.267716535,2.081681067,0.057802359
0.267716535,2.081665973,0.057593014
